Group,No_of_Mosquitoes,Column1
Beer,27,
Beer,19,
Beer,20,
Beer,20,
Beer,23,
Beer,17,
Beer,21,
Beer,24,
Beer,31,
Beer,26,
Beer,28,
Beer,20,
Beer,27,
Beer,19,
Beer,25,
Beer,31,
Beer,24,
Beer,28,
Beer,24,
Beer,29,
Beer,21,
Beer,21,
Beer,18,
Beer,27,
Beer,20,
Water,21,
Water,19,
Water,13,
Water,22,
Water,15,
Water,22,
Water,15,
Water,22,
Water,20,
Water,12,
Water,24,
Water,24,
Water,21,
Water,19,
Water,18,
Water,16,
Water,23,
Water,20,
,,
,,
,,
,,
,,
,,
,,
